TRP,year,month,day,hour,TRP_day
31535.22,1,1,1,0,31535.2
31188.9174,1,1,1,1,31362.1
31240.4974,1,1,1,2,31321.5
31442.4314,1,1,1,3,31351.8
31922.7751,1,1,1,4,31466.0
33633.7304,1,1,1,5,31827.3
34876.8006,1,1,1,6,32262.9
35358.9775,1,1,1,7,32809.2
36038.7688,1,1,1,8,33502.0
37353.1794,1,1,1,9,34375.2
37534.7596,1,1,1,10,35245.6
38257.1671,1,1,1,11,36150.5
38423.5288,1,1,1,12,36834.7
37666.9073,1,1,1,13,37233.3
37287.4833,1,1,1,14,37508.8
38144.0804,1,1,1,15,37809.6
37444.9623,1,1,1,16,37822.7
37292.5709,1,1,1,17,37788.1
38139.016,1,1,1,18,37771.2
37368.8302,1,1,1,19,37620.6
35517.19,1,1,1,20,37313.4
34695.343,1,1,1,21,36943.1
35035.7382,1,1,1,22,36499.1
30863.1777,1,1,1,23,35558.8
31290.0276,1,1,2,0,34701.3
31221.5248,1,1,2,1,33713.1
31283.4217,1,1,2,2,32843.8
31384.6021,1,1,2,3,32253.4
32104.6669,1,1,2,4,31883.3
34465.2673,1,1,2,5,31801.8
37705.5453,1,1,2,6,32779.3
41511.6776,1,1,2,7,34239.5
42566.7676,1,1,2,8,35860.3
43534.1848,1,1,2,9,37610.4
43577.5234,1,1,2,10,39352.2
43342.2563,1,1,2,11,40957.6
42554.6008,1,1,2,12,42113.2
42651.7712,1,1,2,13,42819.8
42763.4909,1,1,2,14,42998.7
42346.906,1,1,2,15,42967.2
40648.5868,1,1,2,16,42555.0
40071.5613,1,1,2,17,42054.2
39061.4704,1,1,2,18,41442.6
36533.0932,1,1,2,19,40582.4
34842.5358,1,1,2,20,39466.8
34450.9914,1,1,2,21,38279.3
33903.5415,1,1,2,22,37073.1
31039.5262,1,1,2,23,35700.4
30901.7698,1,1,3,0,34390.4
31307.8586,1,1,3,1,33282.8
31445.5028,1,1,3,2,32556.0
31688.0755,1,1,3,3,32105.3
32347.5018,1,1,3,4,31804.8
34922.3108,1,1,3,5,31950.4
38159.7213,1,1,3,6,32967.5
42291.68,1,1,3,7,34594.7
43834.2089,1,1,3,8,36384.1
44622.7285,1,1,3,9,38266.6
44040.1988,1,1,3,10,40031.2
42872.1977,1,1,3,11,41534.7
43807.122,1,1,3,12,42804.0
43009.6732,1,1,3,13,43496.8
42452.7452,1,1,3,14,43519.8
41273.0951,1,1,3,15,43154.0
40605.5237,1,1,3,16,42580.1
40203.3517,1,1,3,17,42032.0
38287.1536,1,1,3,18,41377.0
36627.1066,1,1,3,19,40351.2
34924.4279,1,1,3,20,39196.2
34101.3466,1,1,3,21,38003.1
33941.2877,1,1,3,22,36955.7
31263.6989,1,1,3,23,35621.2
31231.2171,1,1,4,0,34339.5
31506.3546,1,1,4,1,33370.8
31418.0406,1,1,4,2,32626.6
31548.5732,1,1,4,3,32144.4
32544.3337,1,1,4,4,31921.9
34788.2773,1,1,4,5,32042.9
38151.2925,1,1,4,6,33026.9
41466.8197,1,1,4,7,34489.1
43346.0025,1,1,4,8,36180.5
44074.8222,1,1,4,9,37988.6
43887.0295,1,1,4,10,39751.2
43183.9654,1,1,4,11,41271.2
42826.0505,1,1,4,12,42419.4
42007.9573,1,1,4,13,42970.4
41237.2808,1,1,4,14,42937.6
40799.1971,1,1,4,15,42573.8
40626.2834,1,1,4,16,42081.1
39704.2554,1,1,4,17,41483.6
38743.8425,1,1,4,18,40849.3
36571.1664,1,1,4,19,39955.7
34876.5869,1,1,4,20,38936.9
33529.3087,1,1,4,21,37835.8
33238.8095,1,1,4,22,36755.8
31415.9743,1,1,4,23,35440.0
31272.4012,1,1,5,0,34235.4
31329.6434,1,1,5,1,33176.3
31563.8639,1,1,5,2,32460.9
31704.274,1,1,5,3,32007.8
32307.5225,1,1,5,4,31833.2
34831.8964,1,1,5,5,32060.8
37678.0652,1,1,5,6,32955.4
41237.5495,1,1,5,7,34379.0
42219.9656,1,1,5,8,35934.7
42915.813,1,1,5,9,37556.4
42973.4965,1,1,5,10,39166.3
41879.1942,1,1,5,11,40533.7
42437.5728,1,1,5,12,41620.2
41977.1781,1,1,5,13,42234.4
42960.2442,1,1,5,14,42480.5
42285.8552,1,1,5,15,42489.9
41616.6778,1,1,5,16,42304.3
39544.9156,1,1,5,17,41814.5
38307.7549,1,1,5,18,41304.3
37383.4899,1,1,5,19,40582.3
35592.7151,1,1,5,20,39670.2
33802.493,1,1,5,21,38362.0
34503.2068,1,1,5,22,37250.2
31186.8926,1,1,5,23,35760.2
31177.4801,1,1,6,0,34564.9
31151.5534,1,1,6,1,33542.5
31303.1899,1,1,6,2,32673.9
31533.321,1,1,6,3,32094.0
32179.7923,1,1,6,4,31862.2
34962.9419,1,1,6,5,31927.9
37317.0408,1,1,6,6,32803.6
41333.4683,1,1,6,7,34254.5
41808.4749,1,1,6,8,35776.9
42381.3161,1,1,6,9,37359.5
41793.1228,1,1,6,10,38825.2
40566.6012,1,1,6,11,40023.3
41548.0676,1,1,6,12,40964.0
41609.1784,1,1,6,13,41577.2
41349.2458,1,1,6,14,41579.4
40555.2319,1,1,6,15,41400.4
39575.2688,1,1,6,16,40999.5
39965.1425,1,1,6,17,40738.4
38590.2829,1,1,6,18,40456.1
35565.6101,1,1,6,19,39601.4
34070.4123,1,1,6,20,38524.5
33953.8626,1,1,6,21,37468.0
33826.8625,1,1,6,22,36506.8
31534.381,1,1,6,23,35358.1
31385.6529,1,1,7,0,34132.4
31403.0169,1,1,7,1,33105.7
31549.9889,1,1,7,2,32532.0
31738.8546,1,1,7,3,32198.9
32380.1733,1,1,7,4,31974.1
34573.3603,1,1,7,5,32080.8
36753.0028,1,1,7,6,32826.3
37510.361,1,1,7,7,33701.3
38492.6412,1,1,7,8,34714.1
39975.3064,1,1,7,9,35917.7
38790.3794,1,1,7,10,36925.0
38089.6549,1,1,7,11,37740.7
37536.3024,1,1,7,12,38163.9
37228.8064,1,1,7,13,38231.9
37143.3076,1,1,7,14,38179.5
37312.1907,1,1,7,15,38010.8
36223.276,1,1,7,16,37474.8
37382.3598,1,1,7,17,37273.7
36637.7186,1,1,7,18,37066.3
35429.3227,1,1,7,19,36765.3
33622.2645,1,1,7,20,36250.1
33035.6815,1,1,7,21,35663.3
32748.6899,1,1,7,22,35011.3
31182.6156,1,1,7,23,34291.2
30716.3268,1,1,8,0,33338.9
30673.4813,1,1,8,1,32486.9
30535.9573,1,1,8,2,31787.9
30884.0372,1,1,8,3,31396.7
31353.9409,1,1,8,4,31156.4
33328.1845,1,1,8,5,31239.2
35186.4476,1,1,8,6,31811.2
36201.8793,1,1,8,7,32594.8
36877.8836,1,1,8,8,33481.2
38097.4859,1,1,8,9,34561.4
38116.7828,1,1,8,10,35594.7
37812.0156,1,1,8,11,36517.2
37918.6504,1,1,8,12,37173.0
37434.6434,1,1,8,13,37494.2
37743.1856,1,1,8,14,37714.4
37807.5943,1,1,8,15,37847.2
37211.9953,1,1,8,16,37720.7
37267.4309,1,1,8,17,37599.4
38881.4816,1,1,8,18,37752.1
36843.4156,1,1,8,19,37598.5
35124.1092,1,1,8,20,37268.5
34224.8794,1,1,8,21,36765.8
33838.5189,1,1,8,22,36198.8
31712.7214,1,1,8,23,35413.2
31689.4183,1,1,9,0,34616.4
31520.1055,1,1,9,1,33564.7
31500.9273,1,1,9,2,32801.5
31979.4284,1,1,9,3,32352.3
32683.8133,1,1,9,4,32132.1
35425.3696,1,1,9,5,32358.8
39506.6157,1,1,9,6,33472.2
43243.5093,1,1,9,7,35122.8
42807.052,1,1,9,8,36735.2
43645.0483,1,1,9,9,38470.1
43066.7474,1,1,9,10,40054.0
42399.4578,1,1,9,11,41442.0
42655.5729,1,1,9,12,42474.9
42489.1603,1,1,9,13,42900.9
41273.9866,1,1,9,14,42619.6
40574.3817,1,1,9,15,42300.6
40747.8758,1,1,9,16,41886.7
40344.757,1,1,9,17,41497.9
38434.6329,1,1,9,18,40931.5
36077.4475,1,1,9,19,39991.7
34578.9832,1,1,9,20,38861.7
34094.2984,1,1,9,21,37836.1
33168.0516,1,1,9,22,36778.0
30918.0343,1,1,9,23,35373.7
31080.9062,1,1,10,0,34050.3
31030.9363,1,1,10,1,32992.7
31218.9414,1,1,10,2,32298.6
31276.9774,1,1,10,3,31826.9
31905.86,1,1,10,4,31514.2
34585.2221,1,1,10,5,31716.7
37853.4579,1,1,10,6,32707.5
41912.7658,1,1,10,7,34254.9
43235.4032,1,1,10,8,35998.4
43419.2897,1,1,10,9,37741.3
42789.428,1,1,10,10,39385.9
41488.0503,1,1,10,11,40754.8
41482.601,1,1,10,12,41740.1
41150.4673,1,1,10,13,42211.1
41241.7946,1,1,10,14,42115.3
40619.1805,1,1,10,15,41741.5
39391.4422,1,1,10,16,41166.1
39293.5951,1,1,10,17,40666.7
38035.2915,1,1,10,18,40173.5
36044.3603,1,1,10,19,39396.6
34533.0279,1,1,10,20,38451.2
33856.9784,1,1,10,21,37396.3
33497.8815,1,1,10,22,36378.9
31267.2032,1,1,10,23,35218.3
31030.4014,1,1,11,0,34037.9
30898.8214,1,1,11,1,33018.4
31248.4282,1,1,11,2,32333.2
31344.9793,1,1,11,3,31877.8
31663.2711,1,1,11,4,31564.4
33891.7659,1,1,11,5,31620.7
36956.7645,1,1,11,6,32433.5
40677.9182,1,1,11,7,33811.7
41815.3549,1,1,11,8,35371.2
42355.9603,1,1,11,9,36958.0
42789.6971,1,1,11,10,38593.0
41725.9733,1,1,11,11,40030.5
41165.3752,1,1,11,12,41069.6
41691.8789,1,1,11,13,41746.0
41204.1226,1,1,11,14,41821.2
40305.7669,1,1,11,15,41605.5
39387.4138,1,1,11,16,41181.5
38099.8818,1,1,11,17,40511.5
37326.147,1,1,11,18,39882.9
36074.1422,1,1,11,19,39155.6
34675.7595,1,1,11,20,38153.3
33847.6957,1,1,11,21,37102.4
33666.7012,1,1,11,22,36154.0
31221.3852,1,1,11,23,34987.4
31157.9391,1,1,12,0,33995.7
31117.9256,1,1,12,1,33108.8
31199.4812,1,1,12,2,32412.4
31620.7992,1,1,12,3,31976.0
31985.7184,1,1,12,4,31710.0
34843.7421,1,1,12,5,31878.1
38146.9482,1,1,12,6,32867.5
41896.103,1,1,12,7,34401.5
42358.6044,1,1,12,8,36007.3
42257.9663,1,1,12,9,37587.1
42430.4974,1,1,12,10,39131.4
41986.5962,1,1,12,11,40560.1
41782.7873,1,1,12,12,41551.4
41173.1408,1,1,12,13,41983.7
41560.1657,1,1,12,14,41935.7
40920.1892,1,1,12,15,41730.2
41041.1395,1,1,12,16,41556.4
40295.581,1,1,12,17,41251.4
37999.0246,1,1,12,18,40681.7
35599.5831,1,1,12,19,39798.4
34215.0531,1,1,12,20,38804.4
34193.4807,1,1,12,21,37752.0
33055.9118,1,1,12,22,36628.5
31307.7581,1,1,12,23,35238.1
31255.2876,1,1,13,0,33946.6
31371.9212,1,1,13,1,32999.9
31441.2575,1,1,13,2,32405.8
31683.4694,1,1,13,3,32044.2
32550.5167,1,1,13,4,31809.4
35011.475,1,1,13,5,32088.8
38326.3256,1,1,13,6,33091.5
42132.499,1,1,13,7,34645.4
42553.5751,1,1,13,8,36242.7
43507.0137,1,1,13,9,37966.4
42646.9099,1,1,13,10,39532.6
42047.169,1,1,13,11,40889.3
41733.7302,1,1,13,12,41849.6
41611.7235,1,1,13,13,42318.9
42298.8908,1,1,13,14,42342.7
41390.3016,1,1,13,15,42176.5
41510.4474,1,1,13,16,41891.3
40994.1459,1,1,13,17,41655.2
39498.0532,1,1,13,18,41291.0
37049.5972,1,1,13,19,40621.9
35385.7908,1,1,13,20,39732.5
34944.9015,1,1,13,21,38681.9
34121.0614,1,1,13,22,37643.4
32023.5557,1,1,13,23,36288.2
31704.505,1,1,14,0,34961.1
31993.8848,1,1,14,1,33889.0
32243.7984,1,1,14,2,33202.5
32490.5872,1,1,14,3,32788.9
33331.2848,1,1,14,4,32558.4
35629.6576,1,1,14,5,32773.9
37653.0583,1,1,14,6,33578.1
38371.6266,1,1,14,7,34530.6
38459.9502,1,1,14,8,35454.3
40211.2446,1,1,14,9,36592.5
39619.897,1,1,14,10,37611.0
39275.8994,1,1,14,11,38460.2
39374.1788,1,1,14,12,38995.1
38961.0764,1,1,14,13,39182.0
38213.6683,1,1,14,14,39159.4
37221.7684,1,1,14,15,38982.5
36195.512,1,1,14,16,38408.9
36374.925,1,1,14,17,37945.3
36245.1751,1,1,14,18,37512.3
35091.5124,1,1,14,19,36900.5
33201.2776,1,1,14,20,36077.7
32805.4089,1,1,14,21,35305.1
32589.8857,1,1,14,22,34643.4
30788.0812,1,1,14,23,33870.9
30215.751,1,1,15,0,32991.0
30197.7155,1,1,15,1,32127.1
30298.9381,1,1,15,2,31442.4
30619.1491,1,1,15,3,31073.6
31260.2082,1,1,15,4,30852.8
32797.289,1,1,15,5,30882.4
34735.2049,1,1,15,6,31446.3
35062.8102,1,1,15,7,32138.8
36195.5188,1,1,15,8,32995.6
37881.851,1,1,15,9,34078.9
37412.6094,1,1,15,10,35049.4
37170.1126,1,1,15,11,35893.6
38319.7248,1,1,15,12,36682.5
37351.9051,1,1,15,13,37056.4
37680.0368,1,1,15,14,37430.3
38046.0402,1,1,15,15,37694.6
36823.3798,1,1,15,16,37543.4
36948.3676,1,1,15,17,37477.1
37393.1549,1,1,15,18,37508.9
36857.1387,1,1,15,19,37300.0
34980.223,1,1,15,20,36961.2
34019.5506,1,1,15,21,36438.3
34026.538,1,1,15,22,35864.1
31016.14,1,1,15,23,35034.4
31100.9122,1,1,16,0,34199.1
31032.6085,1,1,16,1,33290.4
31184.4456,1,1,16,2,32480.1
31403.618,1,1,16,3,31969.1
32133.8614,1,1,16,4,31699.7
34590.0417,1,1,16,5,31780.2
38034.5702,1,1,16,6,32782.9
41928.7571,1,1,16,7,34329.7
42890.4429,1,1,16,8,36023.7
44315.4374,1,1,16,9,37899.5
43605.7633,1,1,16,10,39642.7
43605.8521,1,1,16,11,41281.6
43403.3678,1,1,16,12,42540.6
42268.0428,1,1,16,13,43145.4
41690.8256,1,1,16,14,43111.4
41392.1566,1,1,16,15,42897.3
40438.906,1,1,16,16,42343.6
38453.2235,1,1,16,17,41607.5
38026.6386,1,1,16,18,40810.5
36002.1765,1,1,16,19,39753.1
33992.3743,1,1,16,20,38570.9
33214.7175,1,1,16,21,37360.0
33514.6353,1,1,16,22,36234.7
30549.3836,1,1,16,23,34821.9
30705.1693,1,1,17,0,33715.0
30939.8334,1,1,17,1,32702.6
31018.8491,1,1,17,2,31990.7
31391.0285,1,1,17,3,31619.1
32121.564,1,1,17,4,31462.9
34380.5469,1,1,17,5,31586.6
37712.2536,1,1,17,6,32609.9
41967.1427,1,1,17,7,34218.7
42744.4971,1,1,17,8,35905.1
43101.5636,1,1,17,9,37631.2
43154.1955,1,1,17,10,39311.7
41125.1685,1,1,17,11,40597.9
41247.8526,1,1,17,12,41579.0
40514.9141,1,1,17,13,41979.3
40549.2301,1,1,17,14,41776.8
39588.3235,1,1,17,15,41325.9
38535.8632,1,1,17,16,40673.6
37711.8075,1,1,17,17,39896.2
36198.0195,1,1,17,18,39192.3
34583.3846,1,1,17,19,38240.2
33447.7821,1,1,17,20,37230.6
32590.8389,1,1,17,21,36093.7
32740.8281,1,1,17,22,35115.5
30654.6488,1,1,17,23,33989.6
30629.4513,1,1,18,0,32977.9
30646.4625,1,1,18,1,32184.8
30749.7302,1,1,18,2,31637.1
30864.3446,1,1,18,3,31268.0
31763.5101,1,1,18,4,31149.9
34298.1254,1,1,18,5,31372.3
36646.4916,1,1,18,6,32228.3
40615.3043,1,1,18,7,33654.9
41684.5917,1,1,18,8,35231.7
42441.3222,1,1,18,9,36902.0
42576.1237,1,1,18,10,38575.1
41315.2903,1,1,18,11,39939.6
40747.8414,1,1,18,12,40861.0
40114.7748,1,1,18,13,41356.5
38969.1956,1,1,18,14,41121.3
39122.8373,1,1,18,15,40755.3
39919.5671,1,1,18,16,40395.1
38620.0668,1,1,18,17,39829.9
37411.0965,1,1,18,18,39272.2
35313.7842,1,1,18,19,38495.9
34385.5215,1,1,18,20,37677.4
33136.2685,1,1,18,21,36844.2
32871.3992,1,1,18,22,35951.1
30345.1419,1,1,18,23,34583.3
30254.758,1,1,19,0,33388.3
30843.4296,1,1,19,1,32450.0
30956.9651,1,1,19,2,31827.6
31310.4362,1,1,19,3,31388.3
32019.0721,1,1,19,4,31228.7
34718.1522,1,1,19,5,31492.6
37386.3152,1,1,19,6,32498.4
41318.3443,1,1,19,7,34079.0
42339.8952,1,1,19,8,35721.3
42701.9265,1,1,19,9,37399.2
42405.4445,1,1,19,10,38984.2
42057.8909,1,1,19,11,40418.3
